Sep=;
#X1;-575
#Z1;-9166
#X2;8662
#Z2;-634
seed;structure;x;z;details
2814749767106562;end_city;-224;-6352;size=138:ship
2814749767106562;end_city;-272;-2208;size=80:ship
2814749767106562;end_city;112;-7616;size=15
2814749767106562;end_city;112;-3760;size=74:ship
2814749767106562;end_city;416;-4064;size=92:ship
2814749767106562;end_city;400;-1504;size=14:ship
2814749767106562;end_city;704;-8560;size=27
2814749767106562;end_city;688;-3120;size=58:ship
2814749767106562;end_city;736;-2496;size=87:ship
2814749767106562;end_city;704;-1520;size=54:ship
2814749767106562;end_city;1008;-4128;size=17
2814749767106562;end_city;992;-3184;size=16:ship
2814749767106562;end_city;1024;-2512;size=15
2814749767106562;end_city;1072;-1888;size=58:ship
2814749767106562;end_city;1024;-896;size=49:ship
2814749767106562;end_city;1328;-6304;size=9
2814749767106562;end_city;1296;-5040;size=71:ship
2814749767106562;end_city;1984;-8256;size=10
2814749767106562;end_city;1968;-6032;size=9
2814749767106562;end_city;2352;-8592;size=83:ship
2814749767106562;end_city;2304;-2464;size=40
2814749767106562;end_city;2640;-8304;size=48:ship
2814749767106562;end_city;2640;-4736;size=12
2814749767106562;end_city;2624;-4096;size=74:ship
2814749767106562;end_city;2672;-2832;size=79:ship
2814749767106562;end_city;2896;-8592;size=47:ship
2814749767106562;end_city;2944;-7888;size=84
2814749767106562;end_city;3264;-6352;size=47
2814749767106562;end_city;3632;-8576;size=10
2814749767106562;end_city;3568;-2768;size=37
2814749767106562;end_city;3600;-1504;size=101:ship
2814749767106562;end_city;3872;-6656;size=10
2814749767106562;end_city;3920;-4752;size=17:ship
2814749767106562;end_city;4208;-7312;size=26
2814749767106562;end_city;4224;-5392;size=16
2814749767106562;end_city;4256;-4768;size=95:ship
2814749767106562;end_city;4528;-6000;size=10
2814749767106562;end_city;4560;-2560;size=67:ship
2814749767106562;end_city;4864;-6672;size=14:ship
2814749767106562;end_city;4848;-1232;size=9
2814749767106562;end_city;5184;-7632;size=51
2814749767106562;end_city;5152;-4464;size=107:ship
2814749767106562;end_city;5856;-8624;size=74:ship
2814749767106562;end_city;5840;-7600;size=81:ship
2814749767106562;end_city;6128;-8256;size=30
2814749767106562;end_city;6128;-6000;size=24
2814749767106562;end_city;6128;-3152;size=61:ship
2814749767106562;end_city;6112;-1840;size=162:ship
2814749767106562;end_city;6400;-3472;size=79:ship
2814749767106562;end_city;6832;-8320;size=92:ship
2814749767106562;end_city;6736;-4144;size=66:ship
2814749767106562;end_city;6720;-2496;size=111:ship
2814749767106562;end_city;7136;-7952;size=33:ship
2814749767106562;end_city;7136;-6672;size=74:ship
2814749767106562;end_city;7088;-4704;size=74:ship
2814749767106562;end_city;7456;-6992;size=57:ship
2814749767106562;end_city;7456;-6288;size=121:ship
2814749767106562;end_city;7440;-6032;size=25:ship
2814749767106562;end_city;7440;-912;size=16
2814749767106562;end_city;7728;-1520;size=65:ship
2814749767106562;end_city;8368;-7280;size=30
2814749767106562;end_city;8384;-3808;size=31
2814749767106562;end_city;8368;-1888;size=113:ship
2814749767106562;end_city;8368;-912;size=104:ship
2814749767106562;end_city;8656;-5408;size=29
